week,day_offset,time_zone,suggested_time,status,feature,release_check,copy,asset,alt_text,posted_url
1,0,America/New_York,10:00,Draft,Workspace,Evergreen,"Threadlines brings Codex and Claude Code into one desktop workspace. Keep the conversation, browser, files, and source control together. Free and open source. Bring your own provider account. https://www.threadlines.dev/download",assets/launch-overview.mp4,"A 30-second Threadlines overview showing the inbox, PR review and CI, and changed files.",
1,2,America/New_York,10:00,Draft,Pull request review,Confirm in stable,"Review a GitHub pull request beside the thread that built it. Read the diff, check review comments, and send feedback back to the agent in Threadlines. https://www.threadlines.dev/download",assets/spotlights/pull-requests-portrait.mp4,"A staged open Threadlines pull request with its title, review panel, and CI checks visible together.",
1,4,America/New_York,10:00,Draft,Thread inbox,Evergreen,"Several projects open at once? Threadlines puts working threads, open PRs, and active terminals in one inbox. Finished threads can stay in Wrapped until you need them again. https://www.threadlines.dev/download",assets/spotlights/inbox-portrait.mp4,A close view of the Threadlines inbox with thread states and project names.,
2,7,America/New_York,10:00,Draft,Desktop browser,Evergreen,"Open the site you are working on inside Threadlines. This demo expands FACPManuals, finds text on the page, and attaches a screenshot to the chat. https://www.threadlines.dev/download",assets/spotlights/browser-portrait.mp4,"The public FACPManuals page stays visible while the cursor finds text, captures a screenshot, and returns to its attachment in chat.",
2,9,America/New_York,10:00,Draft,Project files,Evergreen,"Open a project file without leaving the thread. Browse, read, and edit files beside the conversation in Threadlines. https://www.threadlines.dev/download",assets/files-social.png,A project file open in the Threadlines editor beside a recreated conversation.,
2,11,America/New_York,10:00,Draft,Exact context,Evergreen,A long reply does not need a long correction. Select the part you mean and attach it to your next message in Threadlines. You can also attach selected code and terminal output. https://www.threadlines.dev/download,assets/spotlights/context-portrait.mp4,"The cursor selects a file line, clicks Add selection to chat, and writes a question beside the attached reference.",
3,14,America/New_York,10:00,Draft,Source control,Evergreen,Read the diff before you commit. Threadlines keeps changed files and staged changes beside the conversation so you can review the work one file at a time. https://www.threadlines.dev/download,assets/spotlights/source-control-portrait.mp4,A close view of a changed-file diff in Threadlines source control.,
3,16,America/New_York,10:00,Draft,Git history,Evergreen,Need to see how the branch got here? Read commit details and follow branch history beside your conversation in Threadlines. https://www.threadlines.dev/download,assets/git-history-social.png,The Threadlines Git history panel with commit detail popovers beside a recreated project conversation.,
3,18,America/New_York,10:00,Draft,Provider switching,Evergreen,"Choose Claude for an existing thread, then review the recap handoff before confirming. This Threadlines demo stops at the confirmation dialog. https://www.threadlines.dev/download",assets/provider-switch.mp4,The Claude provider picker and Switch to Claude recap confirmation in an existing Threadlines thread.,
4,21,America/New_York,10:00,Draft,Agent activity,Evergreen,"What is the agent doing now? Open the activity panel in Threadlines to follow tasks, subagents, and background work beside the conversation. https://www.threadlines.dev/download",assets/activity.mp4,"The Threadlines activity panel with staged task, subagent, and background-work states.",
4,23,America/New_York,10:00,Draft,Wrapped threads,Evergreen,Done for now does not mean deleted. Move finished threads into Wrapped in Threadlines and keep the inbox focused on the work you still need to follow. https://www.threadlines.dev/download,assets/spotlights/inbox-portrait.mp4,A close view of the Threadlines inbox with thread states and project names.,
4,25,America/New_York,10:00,Draft,Terminal activity,Evergreen,A thread can be quiet while its terminal is still busy. The terminal indicator in Threadlines helps you see which conversations still have work running. https://www.threadlines.dev/download,assets/spotlights/inbox-portrait.mp4,A close view of the Threadlines inbox with thread states and project names.,
5,28,America/New_York,10:00,Draft,PR checks,Confirm in stable,Keep an eye on GitHub checks without leaving the thread. Threadlines shows PR status above the composer and lets you open the checks for more detail. https://www.threadlines.dev/download,assets/spotlights/pull-requests-portrait.mp4,"A staged open Threadlines pull request with its title, review panel, and CI checks visible together.",
5,30,America/New_York,10:00,Draft,Focused follow-ups,Evergreen,Need to correct one part of an agent reply? Attach the part you mean to your next message in Threadlines. Keep the follow-up tied to the text you are discussing. https://www.threadlines.dev/download,assets/spotlights/context-portrait.mp4,"The cursor selects a file line, clicks Add selection to chat, and writes a question beside the attached reference.",
5,32,America/New_York,10:00,Draft,Project organization,Evergreen,"Threadlines, facpmanuals-next, game-idea, and my portfolio. These demos use my real project names and favicons, with recreated conversations. This is how I want the workspace to feel when several projects are moving.",assets/launch-social.png,Four real project names and original favicons in a Threadlines workspace with recreated conversations.,
6,35,America/New_York,10:00,Draft,Browser feedback,Evergreen,Show the agent the page you mean. Threadlines lets you capture a screenshot in its desktop browser and attach it to the conversation. Here it is with the public FACPManuals site. https://www.threadlines.dev/download,assets/spotlights/browser-portrait.mp4,"The public FACPManuals page stays visible while the cursor finds text, captures a screenshot, and returns to its attachment in chat.",
6,37,America/New_York,10:00,Draft,Open source workspace,Evergreen,"Threadlines is free and MIT-licensed. It runs locally with your Codex or Claude Code account. If you want to see how it works, the source and full history are on GitHub. https://github.com/Threadlines/threadlines",assets/launch-social.png,Threadlines desktop workspace with the project inbox and review tools.,
6,39,America/New_York,10:00,Draft,Feedback,Conversation,"What is hardest to follow when you run coding agents: what changed, which thread needs you, or whether the PR is ready? I am building Threadlines around that daily work. I would like to hear where you lose track.",,,
